fc_id,des
文件管理,
文件传输,
ftp,用来设置文件系统相关功能
scp,加密的方式在本地主机和远程主机之间复制文件
文件处理,
touch,创建新的空文件
rename,用字符串替换的方式批量改变文件名
dirname,去除文件名中的非目录部分
ln,用来为文件创建连接
cat,连接文件并打印到标准输出设备上
文件查找和比较,
diff,比较给定的两个文件的不同
which,查找并显示给定命令的绝对路径
find,在指定目录下查找文件
whereis,查找二进制程序、代码等相关文件路径
文件内容查看,
tail,在屏幕上显示指定文件的末尾若干行
head,在屏幕上显示指定文件的开头若干行
less,分屏上下范爷浏览文件内容
more,显示文件内容，每次显示一屏
文件编辑,
vi,功能强大的纯文本编辑器
sed,自动编辑文件，简化对文件的反复操作
文件权限属性设置,
chmod,用来变更文件或目录的权限
chown,用来变更文件或目录的拥有者或所属群组
stat,用于显示文件的状态信息
file,用来探测给定文件的类型
文件过滤分隔与合并,
grep,强大的文本搜索工具
look,显示文件中以指定字符串开头的任意行
tac,将文件已行为单位的反序输出
sort,将文件进行排序并输出
文件压缩与解压,
tar,Linux 下的归档使用工具，用于打包和备份
gzip,用于压缩文件
gunzip,用于解压缩文件
zip,可以用来解压缩文件
unzip,用于解压缩由 zip 命令压缩的压缩包
文件备份和恢复,